major,requiredClasses
"Urban Education MS: Curriculum, Pedagogy and Schooling concentration","['EDU 600 Principles of Urban Education', 'EDU 614 Literacy Education in Urban Schools - Advanced Theory and Practice', 'EDU 670 Advanced Reflective Practice for Urban Educators', 'EDU 688 Research Methods in Urban/Cross-Cultural Education', 'EDU 698 Capstone: Conducting Research in Urban Classrooms, Schools and Communities', 'EDU 602 Assessing Learning in Urban Grades 5-12 - Advanced Theory and Practice', 'EDU 606 Urban Middle School and High School Methods -Advanced Theory and Practice', 'EDU 610 Teaching & Assessing Exceptional Urban Learners-Advanced Theory & Practice', 'EDU 615 Managing Learning in Urban 5-12 Classrooms-Advanced Theory and Practice', 'EDU 630 Historical, Cultural, and Philosophical Foundations of Urban Education', 'EDU 633 Strategies for Transforming Education Through Absent Narratives', 'EDU 635 Teaching Assessing ELL Students in Content-Advanced Theory and Practice', 'EDU 646 Restorative Practices in Urban Schools and Classrooms', 'EDU 651 Immigrants and Refugees in Urban Schools', 'EDU 652 Theories and Methods of Language Learning', 'EDU 653  Assessment and Curriculum for English Learners in Urban Schools', 'EDU 682 Culturally Responsive Pedagogy in Urban Schools', 'SPED 600 Foundations of Teaching Urban Learners with Exceptionalities', 'SPED 601 Applying Behavioral and Learning Principles in Urban Settings', 'SPED 602 Legal, Political, and Ethical Issues in Urban Special Education', 'SPED 603 Assessment in Urban Special Education', 'SPED 604 Supporting Inclusive Education through Differentiation and Technology', 'SPED 605 Collaboration and Transition Practices in Special Education', 'SPED 606 Characteristics of Diverse Urban Learners with Mild/Moderate Disabilities', 'SPED 609 Interventions: Mild Disabilities']"
Urban Education MS: English as a Second Language Concentration,"['LING 316 The Nature of Language', 'EDU 483 Foundations of Teaching Reading in Urban Grades K-6', 'EDU 614 Literacy Education in Urban Schools - Advanced Theory and Practice', 'EDU 635 Teaching Assessing ELL Students in Content-Advanced Theory and Practice', 'EDU 651 Immigrants and Refugees in Urban Schools', 'EDU 652 Theories and Methods of Language Learning', 'EDU 653  Assessment and Curriculum for English Learners in Urban Schools', 'EDU 654 The Urban ESL Professional', 'EDU 656 Elementary ESL Practicum  ', 'EDU 657 Middle School ESL Practicum  ', 'EDU 658 High School ESL Practicum', 'EDU 600 Principles of Urban Education', 'EDU 670 Advanced Reflective Practice for Urban Educators', 'EDU 688 Research Methods in Urban/Cross-Cultural Education', 'EDU 698 Capstone: Conducting Research in Urban Classrooms, Schools and Communities']"
Urban Education MS: Secondary Education Teacher Preparation Concentration for English Teaching,"['EDU 600 Principles of Urban Education', 'EDU 602 Assessing Learning in Urban Grades 5-12 - Advanced Theory and Practice', 'EDU 606 Urban Middle School and High School Methods -Advanced Theory and Practice', 'EDU 311 Urban Teaching Practicum and Seminar', 'EDU 610 Teaching & Assessing Exceptional Urban Learners-Advanced Theory & Practice', 'EDU 614 Literacy Education in Urban Schools - Advanced Theory and Practice', 'EDU 615 Managing Learning in Urban 5-12 Classrooms-Advanced Theory and Practice', 'EDU 630 Historical, Cultural, and Philosophical Foundations of Urban Education', 'EDU 635 Teaching Assessing ELL Students in Content-Advanced Theory and Practice', 'LAED 445 Teaching Writing and Communications in Urban Grades 5-12', 'LAED 450 Teaching Language Arts in Urban Middle and High School', 'EDU 450 Advanced Urban Teaching Practicum and Seminar', 'EDU 650 Student Teaching in the Urban School', 'EDU 670 Advanced Reflective Practice for Urban Educators', 'EDU 688 Research Methods in Urban/Cross-Cultural Education', 'EDU 698 Capstone: Conducting Research in Urban Classrooms, Schools and Communities']"
Urban Education MS: Secondary Education Teacher Preparation Concentration for Mathematics Teaching,"['EDU 600 Principles of Urban Education', 'EDU 602 Assessing Learning in Urban Grades 5-12 - Advanced Theory and Practice', 'EDU 606 Urban Middle School and High School Methods -Advanced Theory and Practice', 'EDU 311 Urban Teaching Practicum and Seminar', 'EDU 610 Teaching & Assessing Exceptional Urban Learners-Advanced Theory & Practice', 'EDU 614 Literacy Education in Urban Schools - Advanced Theory and Practice', 'EDU 615 Managing Learning in Urban 5-12 Classrooms-Advanced Theory and Practice', 'EDU 630 Historical, Cultural, and Philosophical Foundations of Urban Education', 'EDU 635 Teaching Assessing ELL Students in Content-Advanced Theory and Practice', 'MAED 450 Teaching Mathematics to Urban Learners in Grades 5-12', 'EDU 450 Advanced Urban Teaching Practicum and Seminar', 'EDU 650 Student Teaching in the Urban School', 'EDU 670 Advanced Reflective Practice for Urban Educators', 'EDU 688 Research Methods in Urban/Cross-Cultural Education', 'EDU 698 Capstone: Conducting Research in Urban Classrooms, Schools and Communities']"
Urban Education MS: Secondary Education Teacher Preparation Concentration for Social Studies Teaching,"['EDU 600 Principles of Urban Education', 'EDU 602 Assessing Learning in Urban Grades 5-12 - Advanced Theory and Practice', 'EDU 606 Urban Middle School and High School Methods -Advanced Theory and Practice', 'EDU 311 Urban Teaching Practicum and Seminar', 'EDU 610 Teaching & Assessing Exceptional Urban Learners-Advanced Theory & Practice', 'EDU 614 Literacy Education in Urban Schools - Advanced Theory and Practice', 'EDU 615 Managing Learning in Urban 5-12 Classrooms-Advanced Theory and Practice', 'EDU 630 Historical, Cultural, and Philosophical Foundations of Urban Education', 'EDU 635 Teaching Assessing ELL Students in Content-Advanced Theory and Practice', 'SSED 450 Teaching Social Studies in Urban Grades 5-12', 'EDU 450 Advanced Urban Teaching Practicum and Seminar', 'EDU 650 Student Teaching in the Urban School', 'EDU 670 Advanced Reflective Practice for Urban Educators', 'EDU 688 Research Methods in Urban/Cross-Cultural Education', 'EDU 698 Capstone: Conducting Research in Urban Classrooms, Schools and Communities']"
Urban Education MS: Secondary Education Teacher Preparation for Life Sciences Teaching Concentration,"['EDU 600 Principles of Urban Education', 'EDU 602 Assessing Learning in Urban Grades 5-12 - Advanced Theory and Practice', 'EDU 606 Urban Middle School and High School Methods -Advanced Theory and Practice', 'EDU 311 Urban Teaching Practicum and Seminar', 'EDU 610 Teaching & Assessing Exceptional Urban Learners-Advanced Theory & Practice', 'EDU 614 Literacy Education in Urban Schools - Advanced Theory and Practice', 'EDU 615 Managing Learning in Urban 5-12 Classrooms-Advanced Theory and Practice', 'EDU 630 Historical, Cultural, and Philosophical Foundations of Urban Education', 'EDU 635 Teaching Assessing ELL Students in Content-Advanced Theory and Practice', 'SCED 450 Science Methods for Urban Grades 5-12 Classrooms and Lab', 'EDU 450 Advanced Urban Teaching Practicum and Seminar', 'EDU 650 Student Teaching in the Urban School', 'EDU 670 Advanced Reflective Practice for Urban Educators', 'EDU 688 Research Methods in Urban/Cross-Cultural Education', 'EDU 698 Capstone: Conducting Research in Urban Classrooms, Schools and Communities']"
Urban Education MS: Special Education concentration,"['EDU 483 Foundations of Teaching Reading in Urban Grades K-6', 'EDU 487 Methods of Teaching Reading in Urban Grades K-6', 'SPED 600 Foundations of Teaching Urban Learners with Exceptionalities', 'SPED 601 Applying Behavioral and Learning Principles in Urban Settings', 'SPED 602 Legal, Political, and Ethical Issues in Urban Special Education', 'SPED 603 Assessment in Urban Special Education', 'SPED 604 Supporting Inclusive Education through Differentiation and Technology', 'SPED 605 Collaboration and Transition Practices in Special Education', 'EDU 614 Literacy Education in Urban Schools - Advanced Theory and Practice', 'SPED 606 Characteristics of Diverse Urban Learners with Mild/Moderate Disabilities', 'SPED 609 Interventions: Mild Disabilities', 'SPED 690 Graduate Practicum: Mild Disabilities', 'EDU 670 Advanced Reflective Practice for Urban Educators', 'EDU 688 Research Methods in Urban/Cross-Cultural Education', 'EDU 698 Capstone: Conducting Research in Urban Classrooms, Schools and Communities']"
Urban Elementary Education BS for K-Grade 6 Licensure,"['EDU 200 Introduction to Urban Education and Reflective Teaching', 'EDU 203 Multicultural Education', 'PSYC 308 Child Psychology', 'MATH 110 Math for Liberal Arts', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'SCED 440 Science Curriculum and Differentiated Instruction in Urban Grades K-6', 'GEOG 201 Introduction to Geography', 'POL 101 Introduction to American Government and Politics', 'HIST 101 The American Past:  To 1865', 'HIST 102 The American Past:  From 1865', 'HIST 103 World History I:  Patterns of Civilization to 1500', 'HIST 104 World History II:  The Modern World, 1500 to the Present', 'EDU 331 Physical Development, Health, Nutrition, Effects of Drugs in Birth-Grade 6', 'EDU 341 The Child and the Family in an Urban Setting', 'EDU 361 The Arts in Early Childhood and Elementary Education', 'EDU 383 Information Technology for K-12 Education', 'EDU 323 Urban Pre-K and Kindergarten Curriculum and Practicum', 'EDU 311 Urban Teaching Practicum and Seminar', ""EDU 330 Teaching Children's Literature in Urban Grades K-6"", 'EDU 333 Assessment of Learning in Urban Grades K-6', 'EDU 345 Integrated Classroom Management Methods in Urban Grades K-6', 'MAED 106 Math for Elementary Teachers', 'EDU 435 Teaching and Assessing English Language Learners', 'EDU 481 Urban Grades 1-6 Curriculum and Practicum', 'EDU 483 Foundations of Teaching Reading in Urban Grades K-6', 'EDU 487 Methods of Teaching Reading in Urban Grades K-6', 'EDU 450 Advanced Urban Teaching Practicum and Seminar', 'LAED 440 Methods of Teaching Language Arts in Urban Grades K-6', 'SSED 440 Social Studies Curriculum and Differentiated Methods in Urban Grades K-6', 'EDU 430 Historical and Cultural Foundations of Urban Education', 'MAED 440 Teaching Mathematics to Urban Learners in Grades K-8', 'SCED 440 Science Curriculum and Differentiated Instruction in Urban Grades K-6', 'EDU 484 Teaching and Assessing Children with Disabilities Birth-Grade 6', 'EDU 495 Student Teaching in the Urban Elementary School K-6', 'PSYC 357 Observing and Assessing Young Children:  Birth Through Age Five', 'PSYC 359 Positive Behavior Guidance', 'EDU 325 Emergent Literacy in Urban Early Childhood Education']"
Urban Secondary Education Licensure,"['EDU 200 Introduction to Urban Education and Reflective Teaching', 'EDU 203 Multicultural Education', 'EDU 300 Assessment of Learning and Teaching in Urban Grades 5-12', 'EDU 306 Urban Middle School and High School Methods', 'EDU 311 Urban Teaching Practicum and Seminar', 'EDU 310 Teaching and Assessing Students with Disabilities in Urban 5-12 Classrooms', 'EDU 400 Literacy Education in Urban Schools', 'EDU 415 Managing Learning in Diverse Urban 5-12 Classrooms', 'EDU 430 Historical and Cultural Foundations of Urban Education', 'EDU 435 Teaching and Assessing English Language Learners', 'EDU 450 Advanced Urban Teaching Practicum and Seminar', 'LAED 445 Teaching Writing and Communications in Urban Grades 5-12', 'LAED 450 Teaching Language Arts in Urban Middle and High School', 'SCED 450 Science Methods for Urban Grades 5-12 Classrooms and Lab', 'MAED 450 Teaching Mathematics to Urban Learners in Grades 5-12', 'SSED 450 Teaching Social Studies in Urban Grades 5-12', 'EDU 460 Student Teaching in the Urban Middle School (grades 5-8)', 'EDU 470 Student Teaching in the Urban High School (grades 9-12)']"
Violence Prevention and Intervention Minor,"['HSVP 301 Violence:  Individual, Community and Global Responses', 'HSVP 309 Violence and Disability', 'HSVP 307 Gender Violence in Global Perspective', 'HSCO 321 Juvenile Offending Prevention and Intervention', 'HSVP 300 Violence:  Origins and Explanations', 'HSVP 302 Advocacy in Violence Prevention', 'HSVP 308 Family Violence Across the Lifespan']"
